VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes albopictus,,"Onoja, A.B., Adeniji, A.J., Olaleye, O.D., Molecular detection of dengue virus serotypes co-circulating within mosquitoes in peri-domestic ecosystems in Nigeria",,,7.4436,3.89555,2013,Nigeria,,,NEW
Aedes aegypti,,"Onoja, A.B., Adeniji, A.J., Olaleye, O.D., Molecular detection of dengue virus serotypes co-circulating within mosquitoes in peri-domestic ecosystems in Nigeria",,,7.4,3.9,2013,Nigeria,,,NEW
Aedes albopictus,,"Onoja, A.B., Adeniji, A.J., Olaleye, O.D., Molecular detection of dengue virus serotypes co-circulating within mosquitoes in peri-domestic ecosystems in Nigeria",,,7.4,3.9,2013,Nigeria,,,NEW
Aedes aegypti,,"Zahouli, J. B., Koudou, B. G., Müller, P., Malone, D., Tano, Y., & Utzinger, J. (2017). Effect of land-use changes on the abundance, distribution, and host-seeking behavior of Aedes arbovirus vectors in oil palm-dominated landscapes, southeastern Côte d’Ivoire. PloS one, 12(12), e0189082.",point,-999,5.47,-3.2,2014,C™te d'Ivoire,CIV,,NEW
Aedes albopictus,,"Ntonga, P. A., Tonga, C., Mbida, J. M., Ndo, C., Ambene, P. A., Lehman, L. G., ... & Lopedji, N. T. (2017). Malaria transmission and the sensitivity of aggressive mosquitoes to insecticides in a poorly urbanized area of the Deido health district in Douala (Cameroon). Medecine et sante tropicales, 27(1), 82-89.",point,-999,4.07,9.71,2014,Cameroon,CMR,,NEW
Aedes aegypti,,"Dickson, L. B., Ghozlane, A., Volant, S., Bouchier, C., Ma, L., Vega-Rúa, A., ... & Kohl, A. (2018). Diverse laboratory colonies of Aedes aegypti harbor the same adult midgut bacterial microbiome. Parasites & vectors, 11(1), 207.",point,-999,-1.83,13.02,2014,Gabon,GAB,,NEW
Aedes aegypti,,"Dickson, L. B., Jiolle, D., Minard, G., Moltini-Conclois, I., Volant, S., Ghozlane, A., ... & Lambrechts, L. (2017). Carryover effects of larval exposure to different environmental bacteria drive adult trait variation in a mosquito vector. Science advances, 3(8), e1700585.",point,-999,-0.11,11.61,2014,Gabon,GAB,,NEW
Aedes aegypti,,"Dickson, L. B., Jiolle, D., Minard, G., Moltini-Conclois, I., Volant, S., Ghozlane, A., ... & Lambrechts, L. (2017). Carryover effects of larval exposure to different environmental bacteria drive adult trait variation in a mosquito vector. Science advances, 3(8), e1700585.",point,-999,-0.18,11.61,2014,Gabon,GAB,,NEW
Aedes albopictus,,"Müller, G. C., Tsabari, O., Traore, M. M., Traore, S. F., Doumbia, S., Kravchenko, V. D., ... & Beier, J. C. (2016). First record of Aedes albopictus in inland Africa along the River Niger in Bamako and Mopti, Mali. Acta tropica, 162, 245-247.",point,-999,14.49,-4.2,2014,Mali,,,NEW
Aedes aegypti,,"Captain-Esoah, M., Baidoo, P. K., Dadzie, S., & Boakye, D. A. (2017, January). STUDIES ON THE BITING BEHAVIOR OF AEDES MOSQUITOES'IN SOME SELECTED COMMUNITIES IN NORTHERN GHANA. In AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE (Vol. 97, No. 5, pp. 63-63). 8000 WESTPARK DR, STE 130, MCLEAN, VA 22101 USA: AMER SOC TROP MED & HYGIENE.",,,10.791,-0.8555,2015,Ghana,GHA,,NEW
Aedes aegypti,,"Captain-Esoah, M., Baidoo, P. K., Dadzie, S., & Boakye, D. A. (2017, January). STUDIES ON THE BITING BEHAVIOR OF AEDES MOSQUITOES'IN SOME SELECTED COMMUNITIES IN NORTHERN GHANA. In AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE (Vol. 97, No. 5, pp. 63-63). 8000 WESTPARK DR, STE 130, MCLEAN, VA 22101 USA: AMER SOC TROP MED & HYGIENE.",,,9.085,-1.82,2015,Ghana,GHA,,NEW
Aedes aegypti,,"Captain-Esoah, M., Baidoo, P. K., Dadzie, S., & Boakye, D. A. (2017, January). STUDIES ON THE BITING BEHAVIOR OF AEDES MOSQUITOES'IN SOME SELECTED COMMUNITIES IN NORTHERN GHANA. In AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE (Vol. 97, No. 5, pp. 63-63). 8000 WESTPARK DR, STE 130, MCLEAN, VA 22101 USA: AMER SOC TROP MED & HYGIENE.",,,10.3726,-2.667,2015,Ghana,GHA,,NEW
Aedes aegypti,,"Kamgang, B., Yougang, A. P., Tchoupo, M., Riveron, J. M., & Wondji, C. (2017). Temporal distribution and insecticide resistance profile of two major arbovirus vectors Aedes aegypti and Aedes albopictus in Yaoundé, the capital city of Cameroon. Parasites & vectors, 10(1), 469.",point,-999,3.8,11.5,2016,Cameroon,CMR,,NEW
Aedes albopictus,,"Kamgang, B., Yougang, A. P., Tchoupo, M., Riveron, J. M., & Wondji, C. (2017). Temporal distribution and insecticide resistance profile of two major arbovirus vectors Aedes aegypti and Aedes albopictus in Yaoundé, the capital city of Cameroon. Parasites & vectors, 10(1), 469.",point,-999,3.93,11.56,2016,Cameroon,CMR,,NEW
Aedes aegypti,,"Tandina, F., Niaré, S., Laroche, M., Koné, A. K., Diarra, A. Z., Ongoiba, A., ... & Parola, P. (2018). Using MALDI-TOF MS to identify mosquitoes collected in Mali and their blood meals. Parasitology, 1-13.",point,-999,12.61,-7.9,2016,Mali,,,NEW
Aedes albopictus,,"Reis, S., Cornel, A. J., Melo, M., Pereira, H., & Loiseau, C. (2017). First record of Aedes albopictus (Skuse 1894) on Sâo Tomé island. Acta tropica, 171, 86-89.",point,-999,0.35,6.54,2016,Sao Tome,,,NEW
Aedes albopictus,,"Reis, S., Cornel, A. J., Melo, M., Pereira, H., & Loiseau, C. (2017). First record of Aedes albopictus (Skuse 1894) on Sâo Tomé island. Acta tropica, 171, 86-89.",point,-999,0.14,6.65,2016,Sao Tome,,,NEW
